"Please select your order...","Vui lòng chọn đơn hàng của bạn..."
"You need to make an order.","Bạn cần mua sản phẩm này."
Submit,Gửi
"Write Your Own Review","Viết nhận xét của bạn"
"You're reviewing:","Nhận xét của bạn:"
"Your Rating","Đánh giá của bạn"
"%1 %2","%1 %2"
Nickname,Nickname
Summary,Mô tả
Review,Nhận xét
"What I do not like about this product ","Điều gì khiến tôi không hài lòng về sản phẩm này "
Add,Thêm
"Submit Review","Gửi nhận xét"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enter a valid email!","Enter a valid email!"
"Email is not format!","Email is not format!"
"Order Id is empty!","Mã đơn hàng trống!"
"Order Id is not format!","Mã đơn hàng không đúng định dạng!"
"This order was not made for this product","Mã đơn hàng này không có sản phẩm hiện tại."
"Order id is not correct","Mã đơn hàng không đúng, vui lòng nhập Mã đơn hàng mà bạn đã mua sản phẩm này"
<span>Loading</span>,<span>Đang tải..</span>
"Email was not made this order.","Địa chỉ email không đúng với Đơn hàng này."
"Customer Reviews","Nhận xét của khách hàng"
"Sort review by: ","Sắp xếp nhận xét theo: "
"Search review: ","Tìm kiếm nhận xét: "
"enter keyword...","nhập từ khóa..."
"There are ' . . ' of ' . . ' people found this helpful.","Có ' . . ' đánh giá của ' . . ' người là hữu ích."
"There are %1 of %2 people found this helpful.","Có %1 đánh giá của %2 người là hữu ích."
"You have found this helpful.","Nhận xét này là hữu ích."
"You have found this unhelpful.","Nhận xét này là không hữu ích."
"Was this review helpful?","Có phải nhận xét này là hữu ích?"
Yes,Yes
No,No
"You reported this review.","Bạn đã báo cáo nhận xét này."
"Report Abuse","Báo cáo lạm dụng"
"Review by","Nhận xét bởi"
"Posted on","Gửi từ"
"Welcome to %store_name","Welcome to %store_name"
"Dear ","Dear "
"Thanks so much for purchasing","Cảm ơn quý khách đang mua sản phẩm"
"on our %store_name.","on our %store_name."
"We are so happy if you feel free and possibility to make a review and rating for our product which you purchased.","We are so happy if you feel free and possibility to make a review and rating for our product which you purchased."
"To sign in to our site for the review, please go <a href=""%customer_url"">My Account</a> page:","To sign in to our site for the review, please go <a href=""%customer_url"">My Account</a> page:"
"Here is the product which you purchased ","Here is the product which you purchased "
"I am ","I am "
"Best Regards,","Best Regards,"
"Image Detail","Chi tiết hình ảnh"
"Lof ProductReviews","Lof ProductReviews"
"Lof Product Reviews","Lof Product Reviews"
"All Reviews","All Reviews"
"Reviews Configuration","Reviews Configuration"
"Lof All-<a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>","Lof All-<a href=""http://landofcoder.com"" target=""_BLANK"" title=""""Magento Marketplace, Opencart Marketplace, Magento 2 Extension, Free Magento Extension, Opencart Advanced Reports"">landofcoder.com</a>"
"Lof Product Reviews And Rating","Lof Product Reviews And Rating"
"General Settings","General Settings"
"Email Sender","Email Sender"
"Email Templates","Email Templates"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Reply Email Templates","Reply Email Templates"
"Send Emails Automatically","Send Emails Automatically"
"Review Settings","Review Settings"
"Enable Sorting","Enable Sorting"
"Sort Review By","Sort Review By"
"Enable Searching","Enable Searching"
"Verify Purchased Code","Verify Purchased Code"
"Allow Show List Orders","Allow Show List Orders"
"Allow Upload Images","Allow Upload Images"
"Set Number images files can upload on frontend form","Set Number images files can upload on frontend form"
"Gallery Default Status","Gallery Default Status"
"Set Uploaded Image Width","Set Uploaded Image Width"
"Set Uploaded Image Height","Set Uploaded Image Height"
"Gallery Owl Carousel Settings","Gallery Owl Carousel Settings"
"Carousel Layout","Carousel Layout"
"Number Item per Column","Number Item per Column"
"Default is 1","Default is 1"
"Number Columns On Page (Phones)","Number Columns On Page (Phones)"
"Show number items when screen size bellow 480px","Show number items when screen size bellow 480px"
"Number Columns On Page (Phones to Small tablets)","Number Columns On Page (Phones to Small tablets)"
"Show number items when screen size between 641px and 480px","Show number items when screen size between 641px and 480px"
"Number Columns On Page (Phones to tablets)","Number Columns On Page (Phones to tablets)"
"Show number items when screen size between 768px and 641px","Show number items when screen size between 768px and 641px"
"Number Columns On Page (Portrait tablets)","Number Columns On Page (Portrait tablets)"
"Show number items when screen size between 979px and 769px","Show number items when screen size between 979px and 769px"
"Number Columns On Page (Default)","Number Columns On Page (Default)"
"Show number items when screen size between 1199px and 980px","Show number items when screen size between 1199px and 980px"
"Number Columns On Page (Large display)","Number Columns On Page (Large display)"
"Show number items when screen size 1200px and up","Show number items when screen size 1200px and up"
Autoplay,Autoplay
"Autoplay Timeout","Autoplay Timeout"
"Autoplay interval timeout.","Autoplay interval timeout."
"Pause on Hover","Pause on Hover"
Loop,Loop
RTL,RTL
"Show dots navigations","Show dots navigations"
"Show next/prev buttons.","Show next/prev buttons."
"Nav Prev","Nav Prev"
"Nav Next","Nav Next"
"Gallery Fancybox Settings","Gallery Fancybox Settings"
"Enabled Auto Popup Size","Enabled Auto Popup Size"
"Fancybox Width","Fancybox Width"
"Fancybox Height","Fancybox Height"
"Fancybox Padding","Fancybox Padding"
"Fancybox Margin","Fancybox Margin"
"General Information","General Information"
"Enable Gallery","Enable Gallery"
Label,Label
"Review Id","Review Id"
Images,Images
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Delete items"
ID,ID
Status,Status
"Reminders To All","Reminders To All"
"Change status","Change status"
"Are you sure you want to send email to selected items?","Are you sure you want to send email to selected items?"
"Send Reminders","Send Reminders"
"Send Email","Send Email"
"Created At","Created At"
Order,Order
"Order Increment Id","Order Increment Id"
"Order Status","Order Status"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Store View","Store View"
"Not found any record to send. Maybe list reminders had status: sent, or there order status are pending. Order status should completed, and reminders status are pending.","Not found any record to send. Maybe list reminders had status: sent, or there order status are pending. Order status should completed, and reminders status are pending."
